accession_name,Minicore #,DNA ID,Seedlot,AKA,Short Day
 UCR_1340,MinicoreUCR_358,5242,GH (2016-2018),UCR 1340,
 UCR_1342,MinicoreUCR_359,5243,GH (2016-2018),UCR 1342,
 UCR_1432,MinicoreUCR_360,5244,GH (2016-2018),UCR 1432,
 UCR_162,MinicoreUCR_361,5245,GH (2016-2018),UCR 162,
 UCR_193,MinicoreUCR_362,5246,GH (2016-2018),UCR 193,
 UCR_24,MinicoreUCR_363,5247,GH (2016-2018),UCR 24,
 UCR_288,MinicoreUCR_366,5250,GH (2016-2018),UCR 288,
 UCR_3301,MinicoreUCR_368,5252,GH (2016-2018),UCR 3301,
 UCR_3326,MinicoreUCR_369,5253,GH (2016-2018),UCR 3326,
 UCR_5164,MinicoreUCR_372,4985,GH (2016-2018),UCR 5164,
 UCR_5272,MinicoreUCR_373,5256,GH (2016-2018),UCR 5272,
 UCR_5275,MinicoreUCR_374,5257,GH (2016-2018),UCR 5275,
 UCR_5279,MinicoreUCR_375,5258,GH (2016-2018),UCR 5279,
 UCR_5280,MinicoreUCR_376,5259,GH (2016-2018),UCR 5280,
 UCR_5353,MinicoreUCR_378,5261,"PR1-212, 2024",UCR 5353,
 UCR_5385,MinicoreUCR_379,5262,GH (2016-2018),UCR 5385,
 UCR_707,MinicoreUCR_380,5263,GH (2016-2018),UCR 707,
 UCR_739,MinicoreUCR_381,5264,GH (2016-2018),UCR 739,
 UCR_779,MinicoreUCR_382,5265,"GH16-22, 2021",UCR 779,
 UCR_830,MinicoreUCR_383,5266,GH (2016-2018),UCR 830,
VAR-10B,MinicoreUCR_384,5267,GH (2016-2018),,
VAR-3A,MinicoreUCR_385,5268,GH (2016-2018),,
Xingove,MinicoreUCR_387,5270,GH (2016-2018),,
Yacine,MinicoreUCR_388,5271,GH (2016-2018),,
Vazzano_Brown,MinicoreUCR_389,5726,GH (2016-2018),Vazzano Brown,
Vazzano_Black,MinicoreUCR_390,5725,GH (2016-2018),Vazzano Black,
Cp_4877,MinicoreUCR_391,5885,GH (2016-2018),Cp 4877,
Cp_4906,MinicoreUCR_392,5886,GH (2016-2018),Cp 4906,
Cp_5556,MinicoreUCR_393,5887,GH (2016-2018),Cp 5556,
Cp_5647,MinicoreUCR_394,5888,GH (2016-2018),Cp 5647,
Vg48,MinicoreUCR_395,5889,GH (2016-2018),,
Vg50,MinicoreUCR_396,5890,GH (2016-2018),,
Vg56,MinicoreUCR_397,5891,GH (2016-2018),,
Vg58,MinicoreUCR_398,5892,GH (2016-2018),,
Vg62,MinicoreUCR_399,5893,GH (2016-2018),,
Vg72,MinicoreUCR_401,5895,GH (2016-2018),,
Vg73,MinicoreUCR_402,5896,GH (2016-2018),,
CB46,MinicoreUCR_403,9043,"GH6D, 2020",,
