"experiment","plot_name","accession_name","common_name","plot_number","range","row","block","seedlot_name"
"CP2602","CP2602_1004","Check2","Top Pick Pinkeye Pea",1004,10,4,"10","Hoss_TopPickPinkeyePea_2024"
"CP2602","CP2602_1005","TVu-8877",NA,1005,10,5,"10","GHC2501_398_SL"
"CP2602","CP2602_1006","PI 664532","US-1137",1006,10,6,"10","GRIN_PI664532_2026"
"CP2602","CP2602_1007","KVx-396-4-5-20","KVx 396-4-5-20",1007,10,7,"10","GHC2501_200_SL"
"CP2602","CP2602_1008","Vazzano_Brown","Vazzano Brown",1008,10,8,"10","GHC2501_451_SL"
"CP2602","CP2602_1009","TVu-15315",NA,1009,10,9,"10","GHC2501_283_SL"
"CP2602","CP2602_1010","UCR_1342","UCR 1342",1010,10,10,"10","GHC2501_428_SL"
"CP2602","CP2602_1011","TVu-4669",NA,1011,10,11,"10","GHC2501_359_SL"
"CP2602","CP2602_1012","Early_Scarlet","Early Scarlet",1012,10,12,"10","GHC2501_152_SL"
"CP2602","CP2602_1013","PI 664527","ZipperCream-GC",1013,10,13,"10","GRIN_PI664527_2026"
"CP2602","CP2602_1014","PI 664526","Baby Cream",1014,10,14,"10","GRIN_PI664526_2026"
"CP2602","CP2602_1015","TVu-14401",NA,1015,10,15,"10","GHC2501_270_SL"
"CP2602","CP2602_1016","TVu-12923",NA,1016,10,16,"10","GHC2501_243_SL"
"CP2602","CP2602_1017","TVu-9508",NA,1017,10,17,"10","GHC2501_412_SL"
"CP2602","CP2602_1018","Check1","Coronet Pinkeye Purplehull",1018,10,18,"10","KellySeedDillon_CoronetPinkeyePurplehull_2024"
"CP2602","CP2602_1019","TVu-946",NA,1019,10,19,"10","GHC2501_406_SL"
"CP2602","CP2602_1020","IT98K-555-1",NA,1020,10,20,"10","GHC2501_198_SL"
"CP2602","CP2602_1021","TVu-53",NA,1021,10,21,"10","GHC2501_363_SL"
"CP2602","CP2602_1022","PI 664514","Kiawah",1022,10,22,"10","GRIN_PI664514_2026"
"CP2602","CP2602_1023","IT95K-1105-5",NA,1023,10,23,"10","GHC2501_180_SL"
"CP2602","CP2602_1024","PI 664517","Bettergro Blackeye",1024,10,24,"10","GRIN_PI664517_2026"
"CP2602","CP2602_1025","Check3","Dixie Lee Pea",1025,10,25,"10","KellySeedDillon_DixieLeaPea_2024"
"CP2602","CP2602_1101","PI 601453","CT Pinkeye Purplehull",1101,11,1,"11","GRIN_PI601453_2026"
"CP2602","CP2602_1102","PI 666249","Colossus",1102,11,2,"11","GRIN_PI666249_2026"
"CP2602","CP2602_1103","TVu-14190",NA,1103,11,3,"11","GHC2501_259_SL"
"CP2602","CP2602_1104","TVu-9492",NA,1104,11,4,"11","GHC2501_410_SL"
"CP2602","CP2602_1105","PI 582920","US 567",1105,11,5,"11","GRIN_PI582920_2026"
"CP2602","CP2602_1106","IT95K-1093-5",NA,1106,11,6,"11","GHC2501_179_SL"
"CP2602","CP2602_1107","TVu-2680",NA,1107,11,7,"11","GHC2501_331_SL"
"CP2602","CP2602_1108","TVu-2449",NA,1108,11,8,"11","GHC2501_328_SL"
"CP2602","CP2602_1109","PI 606785","Petite-N-Green",1109,11,9,"11","GRIN_PI606785_2026"
"CP2602","CP2602_1110","TVu-16521",NA,1110,11,10,"11","GHC2501_315_SL"
"CP2602","CP2602_1111","Vg58",NA,1111,11,11,"11","GHC2501_460_SL"
"CP2602","CP2602_1112","TVu-8702",NA,1112,11,12,"11","GHC2501_395_SL"
"CP2602","CP2602_1113","TVu-1886",NA,1113,11,13,"11","GHC2501_321_SL"
"CP2602","CP2602_1114","IT86D-364",NA,1114,11,14,"11","GHC2501_175_SL"
"CP2602","CP2602_1115","Check3","Dixie Lee Pea",1115,11,15,"11","KellySeedDillon_DixieLeaPea_2024"
"CP2602","CP2602_1116","TVu-8713",NA,1116,11,16,"11","GHC2501_396_SL"
"CP2602","CP2602_1117","Check1","Coronet Pinkeye Purplehull",1117,11,17,"11","KellySeedDillon_CoronetPinkeyePurplehull_2024"
"CP2602","CP2602_1118","INIA-40",NA,1118,11,18,"11","GHC2501_165_SL"
"CP2602","CP2602_1119","TVu-9469",NA,1119,11,19,"11","GHC2501_407_SL"
"CP2602","CP2602_1120","IT00K-901-6",NA,1120,11,20,"11","GHC2501_169_SL"
"CP2602","CP2602_1121","IT98K-128-4",NA,1121,11,21,"11","GHC2501_194_SL"
"CP2602","CP2602_1122","PI 664531","US-1136",1122,11,22,"11","GRIN_PI664531_2026"
"CP2602","CP2602_1123","Apagbaala",NA,1123,11,23,"11","GHC2501_143_SL"
"CP2602","CP2602_1124","TVu-16465",NA,1124,11,24,"11","GHC2501_312_SL"
"CP2602","CP2602_1125","Check2","Top Pick Pinkeye Pea",1125,11,25,"11","Hoss_TopPickPinkeyePea_2024"
